RSS,Region,Nom_etablissement,Nom_installation,No_permis_installation,Nombre_de_civieres_fonctionnelles 						,Nombre_de_civieres_occupees,Nombre_de_patients_sur_civiere_plus_de_24_heures,Nombre_de_patients_sur_civiere_plus_de_48_heures						,Nombre_total_de_patients_presents_a_lurgence,Nombre_total_de_patients_en_attente_de_PEC,DMS_sur_civiere,DMS_ambulatoire						,DMS_sur_civiere_horaire,DMS_ambulatoire_horaire,Heure_de_l'extraction_(image), Mise_a_jour
01,Bas-Saint-Laurent,Total régional,Total régional, ,52,32,3,0,107,63,8.09092592592592,3.41460122699386,8:05,3:24,21:00:00,2024-04-16T21:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE,51218352,9,6,0,0,13,8,7.95,3.72,7:57,3:43,21:00:00,2024-04-16T21:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE MATANE,51218980,7,3,0,0,19,15,13.79,3.32,13:47,3:19,21:00:00,2024-04-16T21:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CLSC DE POHÉNÉGAMOOK,51219418,3,0,0,0,0,0,4.65,1.1,4:39,1:06,21:00:00,2024-04-16T21:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL NOTRE-DAME-DE-FATIMA,51221141,7,2,0,0,15,11,6.39,3.94,6:23,3:56,21:00:00,2024-04-16T21:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE NOTRE-DAME-DU-LAC,51221877,5,2,0,0,9,6,4.47,3.38,4:28,3:22,21:00:00,2024-04-16T21:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL D'AMQUI,51226892,6,1,0,0,2,0,6.38,3.67,6:22,3:40,21:00:00,2024-04-16T21:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL RÉGIONAL DE RIMOUSKI,51227882,12,17,3,0,43,20,9.12,4.96,9:07,4:57,21:00:00,2024-04-16T21:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES,51236156,3,1,0,0,6,3,2.66,1.88,2:39,1:52,21:00:00,2024-04-16T21:45
02,Saguenay-Lac-Saint-Jean,Total régional,Total régional, ,104,75,4,1,199,95,11.1436416184971,4.08681372549019,11:08,4:05,21:00:00,2024-04-16T21:45
02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE CHICOUTIMI,51218394,41,32,2,1,77,34,11.41,3.97,11:24,3:58,21:00:00,2024-04-16T21:45
02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE DOLBEAU-MISTASSINI,51219384,10,4,2,0,15,3,22.78,3.25,22:46,3:15,21:00:00,2024-04-16T21:45
02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL D'ALMA,51219400,17,7,0,0,34,23,8.16,4.2,8:09,4:12,21:00:00,2024-04-16T21:45
02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE LA BAIE,51221364,7,7,0,0,24,12,8.78,5.62,8:46,5:37,21:00:00,2024-04-16T21:45
02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE DE RÉADAPTATION DE JONQUIÈRE,51224541,16,16,0,0,26,11,11.96,4.31,11:57,4:18,21:00:00,2024-04-16T21:45
02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE D'HÉBERGEMENT DE ROBERVAL,51228203,13,9,0,0,23,12,9,4.17,9:00,4:10,21:00:00,2024-04-16T21:45
03,Capitale-Nationale,Total régional,Total régional, ,71,51,1,0,156,83,10.13728,2.82132315521628,10:08,2:49,21:00:00,2024-04-16T21:45
