RSS,Region,Nom_etablissement,Nom_installation,No_permis_installation,Nombre_de_civieres_fonctionnelles 						,Nombre_de_civieres_occupees,Nombre_de_patients_sur_civiere_plus_de_24_heures,Nombre_de_patients_sur_civiere_plus_de_48_heures						,Nombre_total_de_patients_presents_a_lurgence,Nombre_total_de_patients_en_attente_de_PEC,DMS_sur_civiere,DMS_ambulatoire						,DMS_sur_civiere_horaire,DMS_ambulatoire_horaire,Heure_de_l'extraction_(image), Mise_a_jour
01,Bas-Saint-Laurent,Total régional,Total régional, ,52,36,3,0,107,46,10.3028048780487,3.08855882352941,10:18,3:05,14:00:00,2024-08-30T14:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE,51218352,9,6,0,0,13,4,10.14,3.16,10:08,3:09,14:00:00,2024-08-30T14:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE MATANE,51218980,7,7,1,0,21,10,14.74,2.63,14:44,2:37,14:00:00,2024-08-30T14:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CLSC DE POHÉNÉGAMOOK,51219418,3,1,0,0,12,6,5.22,0.82,5:13,0:49,14:00:00,2024-08-30T14:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL NOTRE-DAME-DE-FATIMA,51221141,7,2,0,0,7,4,10.88,2.69,10:52,2:41,14:00:00,2024-08-30T14:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE NOTRE-DAME-DU-LAC,51221877,5,5,0,0,7,3,9.83,2.62,9:49,2:37,14:00:00,2024-08-30T14:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL D'AMQUI,51226892,6,4,1,0,8,2,9.37,4.65,9:22,4:39,14:00:00,2024-08-30T14:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL RÉGIONAL DE RIMOUSKI,51227882,12,11,1,0,29,11,9.66,5.52,9:39,5:31,14:00:00,2024-08-30T14:45
01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES,51236156,3,0,0,0,10,6,2.38,1.89,2:22,1:53,14:00:00,2024-08-30T14:45
02,Saguenay-Lac-Saint-Jean,Total régional,Total régional, ,104,78,4,1,208,96,12.8381142857142,4.65607558139535,12:50,4:39,14:00:00,2024-08-30T14:45
02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE CHICOUTIMI,51218394,41,33,4,1,72,25,14.94,4.94,14:56,4:56,14:00:00,2024-08-30T14:45
02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE DOLBEAU-MISTASSINI,51219384,10,5,0,0,24,13,9.89,2.66,9:53,2:39,14:00:00,2024-08-30T14:45
02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL D'ALMA,51219400,17,7,0,0,22,7,11.71,4.41,11:42,4:24,14:00:00,2024-08-30T14:45
02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE LA BAIE,51221364,7,5,0,0,20,15,5.9,5.19,5:54,5:11,14:00:00,2024-08-30T14:45
02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE DE RÉADAPTATION DE JONQUIÈRE,51224541,16,17,0,0,42,22,12.71,6.17,12:42,6:10,14:00:00,2024-08-30T14:45
02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE D'HÉBERGEMENT DE ROBERVAL,51228203,13,11,0,0,28,14,10.08,4,10:04,4:00,14:00:00,2024-08-30T14:45
03,Capitale-Nationale,Total régional,Total régional, ,218,184,39,4,375,84,12.7179052369077,3.87222222222222,12:43,3:52,14:00:00,2024-08-30T14:45
03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DU SAINT-SACREMENT,51217529,22,20,6,0,29,3,20.37,4.61,20:22,4:36,14:00:00,2024-08-30T14:45
03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,L'HÔTEL-DIEU DE QUÉBEC,51217586,15,13,1,1,21,1,9.79,2.6,9:47,2:36,14:00:00,2024-08-30T14:45
03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,CENTRE HOSPITALIER DE L'UNIVERSITÉ LAVAL,51217594,43,35,4,0,62,13,11.87,5.07,11:52,5:04,14:00:00,2024-08-30T14:45
03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL SAINT-FRANÇOIS D'ASSISE,51217602,34,32,11,0,55,8,16.58,3.74,16:34,3:44,14:00:00,2024-08-30T14:45
03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHAUVEAU,51225001,5,0,0,0,46,19,4.43,2.7,4:25,2:42,14:00:00,2024-08-30T14:45
